State,Bank.account.or.service,Consumer.loan,Credit.card,Credit.reporting,Debt.collection,Money.transfers,Mortgage,Other.financial.service,Payday.loan,Prepaid.card,Student.loan,name_x,X2013,X2010,Bank_account_or_service,Consumer_loan,Credit_card,Credit_reporting,Debt_collection,Money_transfers,Mortgage_Complaints,Other_financial_service,Payday_loan,Prepaid_card,Student_loan,Total,id,name_y,name,region,division
AK,52,11,76,86,102,4,113,0,1,1,13,Alaska,735132,710231,70.73559578415849,14.963299108187401,103.38279383838498,116.985793027647,138.750591730465,5.4411996757045,153.713890838652,0.0,1.36029991892612,1.36029991892612,17.6838989460396,624.377662787091,2.0,Alaska       ,Alaska,West,Pacific
AL,417,206,400,620,802,12,1025,3,48,2,100,Alabama,4833732,4779735,86.268746384781,42.6171744730573,82.7517950933151,128.265282394638,165.917349162097,2.48255385279945,212.05147492662,0.6206384631998629,9.93021541119781,0.41375897546657503,20.6879487733288,752.0069379105009,1.0,Alabama      ,Alabama,South,East South Central
AR,186,67,224,259,328,7,432,1,17,2,61,Arkansas,2959373,2915921,62.851151240482395,22.6399308231845,75.691709020796,87.5185385552953,110.834288209023,2.36536590689987,145.97686739724898,0.33790941527141,5.74446005961398,0.675818830542821,20.612474331556,535.248513789914,5.0,Arkansas     ,Arkansas,South,West South Central
AZ,920,287,1041,1032,1380,43,3328,1,40,14,190,Arizona,6626624,6329013,138.83389188823799,43.310138012961,157.093566799625,155.735409161588,208.25083783235598,6.488975381732839,502.21651326527603,0.15090640422634502,6.03625616905381,2.1126896591688302,28.6722168030056,1248.90140137723,4.0,Arizona      ,Arizona,West,Mountain
CA,5953,1367,6426,6984,8130,303,25377,28,268,109,1105,California,38332521,37253956,155.298943161082,35.6616252815723,167.638335083675,182.195165301025,212.09145101622696,7.904515333077098,662.02272477722,0.730450261802504,6.99145250582397,2.843538519159749,28.826697831848804,1462.20489907251,6.0,California   ,California,West,Pacific
CO,681,197,941,885,1037,22,2446,2,42,12,198,Colorado,5268367,5029196,129.262065455956,37.3929910349829,178.61322113664397,167.983741451573,196.835186311052,4.17586701913515,464.280487672935,0.3796242744668321,7.97210976380347,2.27774564680099,37.582803172216394,1226.75584293957,8.0,Colorado     ,Colorado,West,Mountain
CT,642,169,745,489,582,18,1761,1,11,3,170,Connecticut,3596080,3574097,178.52773019510101,46.995617450112285,207.17002958777303,135.981401971035,161.842895597428,5.005450379301911,489.699895441703,0.278080576627884,3.05888634290672,0.8342417298836509,47.273698026740206,1276.6679272986098,9.0,Connecticut  ,Connecticut,Northeast,New England
DE,285,110,327,229,310,8,683,0,14,1,45,Delaware,925749,897934,307.858825664408,118.822704642403,353.22749470968904,247.367266937366,334.863985810409,8.64165124672022,737.780975188739,0.0,15.1228896817604,1.08020640584003,48.609288262801286,2173.37528855014,10.0,Delaware    ,Delaware,South,South Atlantic
FL,4107,1027,4066,4656,5490,166,15950,13,119,44,655,Florida,19552860,18801311,210.045998385914,52.524285449801205,207.949118440985,238.123732282643,280.777338967292,8.48980660629698,815.7374419905832,0.6648643727822939,6.08606618162254,2.25031018480161,33.4989357055694,1856.1478985682895,12.0,Florida      ,Florida,South,South Atlantic
GA,1722,572,1489,2104,2536,75,7327,3,74,24,385,Georgia,9992167,9687653,172.334989997665,57.244839883080395,149.016724800536,210.564935513988,253.79880060051,7.50587935529901,733.274373817011,0.30023517421196,7.405800963895018,2.40188139369568,38.5301806905349,1632.37864219043,13.0,Georgia     ,Georgia,South,South Atlantic
HI,110,48,196,191,230,5,547,0,4,3,25,Hawaii,1404054,1360301,78.3445650950747,34.18671931421439,139.59577053304199,136.034653937811,163.811363380611,3.56111659523067,389.586155518235,0.0,2.84889327618453,2.1366699571384,17.8055829761533,967.911490583695,15.0,Hawaii      ,Hawaii,West,Pacific
IA,145,52,271,224,350,6,391,1,17,5,85,Iowa,3090416,3046350,46.9192497061884,16.826213687736498,87.6904597957039,72.4821512702497,113.253361359765,1.94148619473883,126.52018369048001,0.323581032456472,5.500877551760019,1.61790516228236,27.5043877588001,500.57985721016195,19.0,Iowa        ,Iowa,North Central,West North Central
ID,116,35,177,166,275,7,427,0,13,0,37,Idaho,1612136,1567582,71.9542271867882,21.7103271684275,109.792225966048,102.96898028454201,170.581142037644,4.3420654336855,264.865991454815,0.0,8.06383580541592,0.0,22.950917292337603,777.229712629704,16.0,Idaho       ,Idaho,West,Mountain
IL,1792,395,1737,1823,2114,77,4581,7,73,19,523,Illinois,12882135,12830632,139.107376222963,30.662619200932106,134.837897600048,141.513809628606,164.103232888027,5.97727007208044,355.60875584676,0.5433881883709489,5.66676253586847,1.47491079700686,40.598860359715204,1020.09488334038,17.0,Illinois    ,Illinois,North Central,East North Central
IN,446,138,517,658,817,18,1256,3,36,5,210,Indiana,6570902,6483800,67.8750040709784,21.0016828739799,78.6802177235332,100.13845892086,124.336050058272,2.7393499400843297,191.145751374773,0.4565583233473879,5.47869988016866,0.760930538912314,31.9590826343172,624.571786339227,18.0,Indiana     ,Indiana,North Central,East North Central
KS,169,76,297,261,418,9,517,1,20,2,61,Kansas,2893957,2853118,58.397550481918,26.2616203350637,102.627647888341,90.1879329927846,144.43891184285,3.10992872388912,178.648127805631,0.345547635987681,6.91095271975361,0.6910952719753609,21.0784057952485,632.6977214934428,20.0,Kansas      ,Kansas,North Central,West North Central
KY,302,120,312,394,582,6,783,2,18,2,101,Kentucky,4395295,4339362,68.7098363136035,27.3019217140146,70.9849964564381,89.64130962768141,132.414320312971,1.3650960857007302,178.145039183946,0.455032028566911,4.0952882571022,0.455032028566911,22.979117442628997,596.54698945122,21.0,Kentucky    ,Kentucky,South,East South Central
LA,351,145,336,623,799,20,1039,0,60,2,103,Louisiana,4625470,4533372,75.8841804184223,31.348165699918102,72.64126672532741,134.68901538654399,172.739202718859,4.32388492412663,224.625821808378,0.0,12.971654772379901,0.432388492412663,22.2680073592521,751.923588305621,22.0,Louisiana   ,Louisiana,South,West South Central
MA,1344,189,1306,794,859,63,2761,6,26,20,402,Massachusetts,6692824,6547629,200.812093669279,28.239200672242397,195.13437078279702,118.634525575452,128.346419986541,9.413066890747462,412.53139183101194,0.896482561023568,3.88475776443546,2.9882752034118902,60.0643315885791,1160.9449165255196,25.0,Massachusett,Massachusetts,Northeast,New England
MD,1424,432,1445,1370,1504,67,5469,0,59,15,362,Maryland,5928814,5773552,240.182943840033,72.8644885806841,243.724967590483,231.074882767447,253.67636765127102,11.3007424419117,922.444185295744,0.0,9.95140006078787,2.5300169646070896,61.057742745851,2048.80773793882,24.0,Maryland    ,Maryland,South,South Atlantic
ME,167,47,250,127,197,3,467,2,9,2,61,Maine,1328302,1328361,125.724421103032,35.3835197116318,188.21021123208402,95.6107873058988,148.30964645088198,2.2585225347850097,351.576674581533,1.5056816898566698,6.77556760435503,1.5056816898566698,45.923291540628604,1002.78400544455,23.0,Maine       ,Maine,Northeast,New England
MI,1122,349,1035,1101,1452,44,4767,3,63,15,385,Michigan,9895622,9883635,113.38347402517999,35.2681215996327,104.59170732269301,111.261323441821,146.731554620821,4.44641074608549,481.728182422489,0.303164369051283,6.36645175007695,1.5158218452564198,38.906094028248,1044.50230617136,26.0,Michigan    ,Michigan,North Central,East North Central
MN,565,114,622,423,605,33,1811,3,22,8,184,Minnesota,5420380,5303925,104.236234359953,21.0317357823621,114.75210225113399,78.0388090871858,111.61579077481701,6.08813404226272,334.109416682963,0.5534667311147929,4.05875602817515,1.47591128297278,33.945959508374,809.906316531313,27.0,Minnesota   ,Minnesota,North Central,West North Central
MO,429,213,576,620,995,29,1844,3,46,5,205,Missouri,6044171,5988927,70.97747565381592,35.2405648351114,95.29842884987872,102.57816994257799,164.621417891717,4.798011174733469,305.08733124857,0.496345983593118,7.61063841509448,0.82724330598853,33.9169755455297,821.4526028466098,29.0,Missouri    ,Missouri,North Central,West North Central
MS,167,108,197,289,344,5,494,1,23,0,44,Mississippi,2991207,2967297,55.830305291476,36.1058261765234,65.8597014516214,96.6165163427339,115.003742636334,1.6715660266909,165.150723437061,0.33431320533818,7.68920372277813,0.0,14.709781034879901,558.9716793254361,28.0,Mississippi ,Mississippi,South,East South Central
MT,51,18,92,92,143,3,188,0,4,2,33,Montana,1015165,989415,50.2381386277108,17.7311077509567,90.62566183822331,90.62566183822331,140.863800465934,2.95518462515946,185.191569843326,0.0,3.94024616687928,1.97012308343964,32.507030876754,616.648525116607,30.0,Montana     ,Montana,West,Mountain
NC,1185,413,1294,1461,1395,53,4212,5,63,12,247,North Carolina,9848060,9535475,120.328267699425,41.937193721403,131.396437470933,148.354092074987,141.652264506918,5.38177062284348,427.698450253146,0.507714209702215,6.39719904224792,1.2185141032853202,25.0810819592894,1049.9529856641802,37.0,North Caroli,North Carolina,South,South Atlantic
ND,24,14,38,74,81,0,66,0,0,1,11,North Dakota,723393,672591,33.1769867831179,19.353242290152107,52.53022907327,102.295709247947,111.972330393023,0.0,91.2367136535742,0.0,0.0,1.38237444929658,15.206118942262401,427.153704832643,38.0,North Dakota,North Dakota,North Central,West North Central
NE,152,49,191,108,245,10,366,0,12,2,60,Nebraska,1868516,1826341,81.3479788238367,26.2240194892631,102.220157601005,57.799879690620784,131.12009744631598,5.35184071209452,195.877370062659,0.0,6.42220885451342,1.0703681424189,32.1110442725671,639.5449650952951,31.0,Nebraska    ,Nebraska,North Central,West North Central
NH,212,42,246,201,203,4,1114,1,15,2,85,New Hampshire,1323459,1316472,160.186299688921,31.735021636484397,185.87655529940895,151.87474640317498,153.385937909675,3.02238301299851,841.733669120086,0.7555957532496279,11.3339362987444,1.51119150649926,64.22563902621839,1605.64097565546,33.0,New Hampshir,New Hampshire,Northeast,New England
NJ,2192,532,2106,1567,2074,67,6257,6,90,29,485,New Jersey,8899339,8791894,246.31042822393903,59.77972071858371,236.646789160408,176.080493169212,233.051016485606,7.5286490378667414,703.085925819884,0.67420737652538,10.1131106478807,3.25866898653934,54.498429602468214,1731.02743922891,34.0,New Jersey  ,New Jersey,Northeast,Middle Atlantic
NM,198,64,226,337,369,14,551,1,23,4,49,New Mexico,2085287,2059180,94.95095878888607,30.6912190024682,108.37836710246599,161.60845005987196,176.954059561106,6.71370415678993,264.232213599375,0.4795502969135661,11.029656829012001,1.91820118765427,23.497964548764802,880.4543451333078,35.0,New Mexico  ,New Mexico,West,Mountain
NV,497,123,520,669,843,24,1529,0,47,9,91,Nevada,2790136,2700551,178.127517798416,44.0838726140948,186.37084357178296,239.773258364467,302.13580986733297,8.60173124177459,548.001961194723,0.0,16.8450570151419,3.2256492156654706,32.614897625062,1559.7805985084601,32.0,Nevada      ,Nevada,West,Mountain
NY,3938,699,4467,3486,3571,169,8370,19,54,31,1024,New York,19651127,19378104,200.39563125310798,35.5704789857599,227.315206908998,177.394405928983,181.719857593918,8.60001566322379,425.929769829486,0.966865666279598,2.7479339988999105,1.57751766603513,52.108970645805705,1314.3266541405,36.0,New York    ,New York,Northeast,Middle Atlantic
OH,1424,532,1710,1308,2113,72,3939,4,120,24,522,Ohio,11570808,11536502,123.068328503939,45.9777744129883,147.785703470319,113.043099496595,182.614731832038,6.2225559355924,340.425664309701,0.34569755197735497,10.370926559320699,2.07418531186413,45.1135305330449,1017.0421979173801,39.0,Ohio        ,Ohio,North Central,East North Central
OK,204,110,314,394,626,19,643,1,36,3,77,Oklahoma,3850568,3751354,52.979196835375994,28.5672139798596,81.54641081523559,102.322566436952,162.573417739928,4.93433696015757,166.988350809543,0.259701945271451,9.34927002977223,0.7791058358143531,19.997049785901694,630.296621173811,40.0,Oklahoma    ,Oklahoma,South,West South Central
OR,506,111,536,572,808,19,1706,2,22,10,141,Oregon,3930065,3831074,128.751051191265,28.2438076723922,136.384512724344,145.544666564039,205.594563957594,4.83452563761668,434.089512514424,0.5088974355385979,5.5978717909245805,2.5444871776929903,35.8772692054712,1127.9711658713,41.0,Oregon      ,Oregon,West,Pacific
PA,1970,498,1789,1823,2150,74,4391,7,95,23,707,Pennsylvania,12773801,12702379,154.221910925339,38.986046518182,140.05228357636102,142.713981531417,168.31325304034402,5.79310731394673,343.750462372163,0.547996637805771,7.437097227364041,1.80056038136182,55.3476604183829,1058.96435994267,42.0,Pennsylvania,Pennsylvania,Northeast,Middle Atlantic
RI,250,56,191,183,208,7,395,0,31,1,44,Rhode Island,1051511,1052567,237.75310006267202,53.2566944140385,181.64336844788104,174.035269245876,197.810579252143,6.65708680175481,375.649898099021,0.0,29.4813844077713,0.951012400250687,41.8445456110302,1299.08293874244,44.0,Rhode Island,Rhode Island,Northeast,New England
SC,423,220,480,781,984,19,1461,2,38,3,122,South Carolina,4774839,4625364,88.58937442707493,46.07485194788771,100.526949704482,163.565724415001,206.080246894188,3.97919175913575,305.978903163018,0.4188622904353421,7.95838351827151,0.628293435653014,25.5505997165559,949.351381271704,45.0,South Caroli,South Carolina,South,South Atlantic
SD,49,21,107,54,134,2,131,0,4,1,21,South Dakota,844877,814180,57.9966077902464,24.8556890529627,126.645653746048,63.9146289933328,158.602968242715,2.3672084812345497,155.052155520863,0.0,4.73441696246909,1.18360424061727,24.8556890529627,620.208622083451,46.0,South Dakota,South Dakota,North Central,West North Central
TN,611,259,699,761,1184,25,1691,5,63,11,175,Tennessee,6495978,6346110,94.0582003202597,39.87082468567471,107.605044228906,117.149411528179,182.26662713451302,3.84853520131996,260.314921017282,0.769707040263991,9.698308707326287,1.69335548858078,26.939746409239696,844.214681761545,47.0,Tennessee   ,Tennessee,South,East South Central
TX,2496,1038,2970,7307,5912,150,6608,16,270,47,552,Texas,26448193,25145561,94.3731770257424,39.2465375611861,112.295006316689,276.275963352203,223.531339173153,5.671464965489321,249.846936613023,0.604956262985528,10.2086369378808,1.7770590225199898,20.8709910730007,1034.70206830387,48.0,Texas       ,Texas,South,West South Central
UT,158,54,252,278,442,8,752,1,12,2,47,Utah,2900872,2763885,54.466381143325215,18.615092289490896,86.8704306842908,95.8332528977494,152.367977628796,2.75779145029495,259.232396327725,0.344723931286868,4.13668717544242,0.689447862573736,16.2020247704828,691.516206161458,49.0,Utah        ,Utah,West,Mountain
VA,1236,461,1648,2062,1885,70,4357,4,80,22,345,Virginia,8260405,8001024,149.62946732030701,55.808401646166296,199.505956427076,249.624564413004,228.197043607426,8.47416077056754,527.45597824804,0.484237758318145,9.68475516636291,2.6633076707498,41.76550665494001,1473.29337968296,51.0,Virginia    ,Virginia,South,South Atlantic
VT,91,30,101,71,81,4,253,0,1,1,42,Vermont,626630,625741,145.221262946236,47.8751416306273,161.17964348977898,113.304501859151,129.262882402694,6.38335221741698,403.747027751624,0.0,1.59583805435424,1.59583805435424,67.02519828287828,1077.19068668911,50.0,Vermont     ,Vermont,Northeast,New England
WA,771,171,935,943,1314,50,3214,6,23,13,226,Washington,6971406,6724540,110.594620367828,24.5287679415028,134.119286697691,135.266831396708,188.484216813653,7.17215436886046,461.02608283035005,0.860658524263255,3.2991910096758104,1.86476013590372,32.418137747249304,1099.63470783369,53.0,Washington  ,Washington,West,Pacific
WI,408,172,729,479,746,32,1515,2,48,7,156,Wisconsin,5742713,5686986,71.04655935269619,29.9510005114307,126.94348472577299,83.4100537498565,129.903758032136,5.57227916491735,263.812591714056,0.348267447807334,8.35841874737602,1.21893606732567,27.1648609289721,747.7302104423468,55.0,Wisconsin   ,Wisconsin,North Central,East North Central
WY,25,12,43,80,84,1,120,0,5,0,20,Wyoming,582658,563626,42.9068166917815,20.5952720120551,73.7997247098641,137.301813413701,144.166904084386,1.71627266767126,205.952720120551,0.0,8.58136333835629,0.0,34.325453353425196,669.346340391791,54.0,West Virgini,Wyoming,West,Mountain
WY,25,12,43,80,84,1,120,0,5,0,20,Wyoming,582658,563626,42.9068166917815,20.5952720120551,73.7997247098641,137.301813413701,144.166904084386,1.71627266767126,205.952720120551,0.0,8.58136333835629,0.0,34.325453353425196,669.346340391791,56.0,Wyoming     ,Wyoming,West,Mountain
